"DateTime" "Latitude" "Longitude" "Depth" "Magnitude" "MagType" "NbStations" "Gap" "Distance" "RMS" "Source" "EventID"
"44" "2007/05/05 00:01:43.00" 32.0618 -115.8722 6.39 4.18 "ML" 19 NA NA 0.35 "CI" 14288992
"45" "2007/05/09 07:50:03.83" 40.3745 -125.0162 0.17 5.2 "Mw" 56 239 62 0.14 "NC" 51181705
"46" "2007/05/09 08:07:31.34" 40.3842 -124.9553 0.04 4.5 "Mw" 56 234 57 0.14 "NC" 51181706
"47" "2007/05/22 11:34:12.15" 35.8613 -120.4122 9.19 4.01 "Mw" 77 42 2 0.07 "NC" 51182151
"48" "2007/06/01 02:08:37.83" 32.6753 -116.1105 11.77 4.06 "ML" 76 NA NA 0.3 "CI" 14295380
"49" "2007/06/02 05:11:26.47" 33.8718 -116.2118 4.83 4.26 "ML" 146 NA NA 0.28 "CI" 14295640
"50" "2007/06/12 07:23:43.15" 37.5375 -118.864 10.72 4.6 "Mw" 44 71 7 0.12 "NC" 51182810
"51" "2007/06/25 02:32:24.62" 41.1155 -124.8245 3.36 5 "Mw" 177 213 67 0.28 "NC" 51183469
"52" "2007/07/02 19:58:53.17" 36.8795 -121.6225 8.46 4.2 "Mw" 95 55 3 0.12 "NC" 51183708
"53" "2007/07/20 11:42:22.36" 37.804 -122.193 5.33 4.2 "Mw" 146 16 3 0.16 "NC" 40199209
"54" "2007/08/09 07:58:49.59" 34.2995 -118.6195 7.58 4.66 "ML" 124 NA NA 0.3 "CI" 14312160
"55" "2007/09/02 17:29:14.79" 33.7322 -117.477 12.6 4.73 "ML" 186 NA NA 0.32 "CI" 10275733
"56" "2007/09/04 14:47:59.64" 32.767 -117.3407 10.94 4.06 "ML" 58 NA NA 0.11 "CI" 10276197
"57" "2007/09/08 08:16:29.03" 40.3193 -124.64 16.06 4.4 "Mw" 40 232 29 0.1 "NC" 40201477
"58" "2007/09/09 02:34:42.31" 33.003 -117.7635 6 3.95 "ML" 57 NA NA 0.26 "CI" 10277865
"59" "2007/10/16 08:53:44.12" 34.3853 -117.6347 8.06 4.2 "ML" 162 NA NA 0.36 "CI" 10285533
"60" "2007/10/24 12:22:48.77" 35.838 -117.6847 4.5 4.34 "ML" 48 NA NA 0.16 "CI" 14330056
"61" "2007/10/31 03:04:54.81" 37.4335 -121.7743 10.11 5.45 "Mw" 164 50 3 0.11 "NC" 40204628
"62" "2007/11/09 03:37:09.90" 40.5767 -124.4723 26.81 4.1 "Mw" 13 255 16 0.05 "NC" 40205250
"63" "2007/11/28 22:49:31.80" 31.8 -115.545 8 4.1 "ML" 7 NA NA 0 "ECX" 200711284062
"64" "2007/12/08 13:55:43.96" 32.648 -116.159 10.54 3.96 "ML" 67 NA NA 0.39 "CI" 10293685
"65" "2007/12/19 12:14:09.63" 34.1562 -116.9813 9.3 4.06 "ML" 145 NA NA 0.18 "CI" 10295849
"66" "2007/12/20 16:35:23.30" 31.766 -116.182 7 4.5 "ML" 32 NA NA 0 "ECX" 200712204067
"67" "2008/01/19 17:18:46.47" 40.1672 -122.7593 10.99 4.5 "Mw" 27 37 7 0.32 "NC" 51194914
"68" "2008/01/19 23:13:05.43" 40.1777 -122.7037 2.87 4.7 "Mw" 33 32 4 1.04 "NC" 51194936
"69" "2008/02/09 07:12:04.55" 32.3595 -115.2773 6 5.1 "Mw" 40 NA NA 1.4 "CI" 14346868
"70" "2008/02/11 18:29:30.53" 32.3272 -115.2568 6 5.1 "Mw" 34 NA NA 1.04 "CI" 14348196
"71" "2008/02/11 23:06:04.16" 32.4377 -115.3082 6 3.95 "ML" 38 NA NA 0.44 "CI" 14348384
"72" "2008/02/12 04:32:39.24" 32.4475 -115.3175 6 4.97 "Mw" 31 NA NA 0.44 "CI" 14348588
"73" "2008/02/12 04:40:46.78" 32.4382 -115.2905 6 4.04 "ML" 35 NA NA 0.49 "CI" 14348592
"74" "2008/02/12 09:20:11.73" 32.4425 -115.298 6 4.25 "ML" 38 NA NA 0.46 "CI" 14348824
"75" "2008/02/12 09:27:19.85" 32.4632 -115.3058 6 4.45 "ML" 32 NA NA 0.49 "CI" 14348840
"76" "2008/02/13 07:14:26.10" 32.424 -115.2872 6 3.99 "ML" 49 NA NA 0.48 "CI" 14349400
"77" "2008/02/19 22:41:29.66" 32.4325 -115.313 6 5.01 "Mw" 44 NA NA 0.55 "CI" 14351140
"78" "2008/02/20 01:28:55.45" 32.4262 -115.3063 6 4.83 "ML" 43 NA NA 0.53 "CI" 14351300
"79" "2008/02/22 19:31:18.48" 32.421 -115.2853 6 4.78 "ML" 42 NA NA 0.46 "CI" 14352012
"80" "2008/02/22 19:33:52.14" 32.3902 -115.2698 6 4.58 "ML" 31 NA NA 0.47 "CI" 12330895
"81" "2008/03/09 09:22:32.08" 34.139 -117.465 3.74 3.97 "ML" 175 NA NA 0.38 "CI" 14355252
"82" "2008/03/29 22:01:42.84" 32.3842 -115.2333 7 4.18 "ML" 40 NA NA 0.42 "CI" 14358796
"83" "2008/04/10 14:17:34.36" 40.396 -125.655 5 4 "Mw" 52 NA NA 1.88 "NEI" 200804104072
"84" "2008/04/21 14:16:25.40" 32.127 -115.492 5 4.1 "ML" 18 NA NA 0 "ECX" 200804214046
"85" "2008/04/21 22:00:53.77" 40.7802 -124.2082 21.34 4.2 "Mw" 16 178 16 0.06 "NC" 40215734
"86" "2008/04/23 01:55:29.40" 34.866 -116.3403 5.55 4.14 "ML" 46 NA NA 0.18 "CI" 10319993
"87" "2008/04/24 22:55:48.95" 39.5299 -119.9329 2.85 4.11 "ML" 59 50 0 0.12 "NN" 242164
"88" "2008/04/26 06:40:10.46" 39.5233 -119.9393 2.83 4.94 "ML" 48 71 1 0.12 "NN" 385392
"89" "2008/04/28 11:33:18.26" 39.5275 -119.9274 1.08 3.98 "ML" 51 46 0 0.11 "NN" 243152
"90" "2008/04/30 03:03:06.90" 40.8358 -123.4968 29.13 5.4 "Mw" 33 36 20 0.14 "NC" 40216664
"91" "2008/05/01 03:55:35.97" 33.443 -116.454 10.8 4.19 "ML" 139 NA NA 0.26 "CI" 10321561
"92" "2008/05/01 08:11:43.22" 35.4733 -118.4253 5.96 4.43 "ML" 77 NA NA 0.27 "CI" 10321585
"93" "2008/05/09 22:38:08.35" 33.4458 -116.4555 10.82 4.06 "ML" 129 NA NA 0.26 "CI" 14367532
"94" "2008/05/13 04:07:39.82" 40.8052 -125.3407 8.48 4.3 "Mw" 57 253 92 0.12 "NC" 51202589
"95" "2008/05/30 04:48:36.23" 38.7758 -122.7642 1.9 4.1 "Mw" 65 33 1 0.14 "NC" 40218402
"96" "2008/06/04 02:29:04.15" 38.2418 -122.1838 10.31 3.96 "Mw" 105 97 5 0.23 "NC" 51203773
"97" "2008/06/18 06:50:26.30" 31.828 -116.303 0 4.5 "ML" 56 NA NA 0 "ECX" 200806184027
"98" "2008/06/23 14:14:57.60" 34.0477 -117.2465 14.42 3.99 "ML" 151 NA NA 0.26 "CI" 14376612
"99" "2008/07/29 18:42:15.71" 33.953 -117.7613 14.7 5.39 "Mw" 181 NA NA 0.33 "CI" 14383980
"100" "2008/07/30 13:39:33.98" 40.4252 -125.3337 15.17 4.2 "Mw" 49 251 85 0.17 "NC" 40221369
"101" "2008/08/17 05:56:59.37" 41.1885 -124.216 16.75 4.6 "Mw" 15 172 17 0.06 "NC" 51207076
"102" "2008/09/05 21:54:33.59" 32.3468 -115.2295 15 4.63 "ML" 35 NA NA 0.72 "CI" 10347253
"103" "2008/09/06 04:00:15.25" 37.862 -122.0075 16.61 4.1 "Mw" 164 41 1 0.31 "NC" 51207740
"104" "2008/10/02 09:41:49.27" 34.0838 -116.9678 12.48 4.14 "ML" 146 NA NA 0.19 "CI" 14396336
